gene_id,total_score,relation_score,similarity_score,correlation
472,0.9166666666666666,0.75,0.16666666666666666,0.0
675,0.8333333333333333,0.5,0.3333333333333333,0.0
79728,0.7857142857142857,0.5,0.2857142857142857,0.0
83990,0.7857142857142857,0.5,0.2857142857142857,0.0
545,0.75,0.75,0.0,0.0
9928,0.6592712879180909,0.0,0.0,0.8240891098976135
55388,0.6583582401275635,0.0,0.0,0.8229478001594543
51426,0.6539206981658936,0.0,0.0,0.8174008727073669
63967,0.6495204448699952,0.0,0.0,0.8119005560874939
157570,0.6451133251190186,0.0,0.0,0.8063916563987732
57082,0.6443761348724366,0.0,0.0,0.8054701685905457
3832,0.6412468433380127,0.0,0.0,0.8015585541725159
55215,0.6378071784973145,0.0,0.0,0.7972589731216431
84515,0.637780523300171,0.0,0.0,0.7972256541252136
1063,0.6324769020080567,0.0,0.0,0.7905961275100708
7979,0.5,0.5,0.0,0.0
580,0.5,0.5,0.0,0.0
5932,0.5,0.5,0.0,0.0
84142,0.5,0.5,0.0,0.0
146956,0.2857142857142857,0.0,0.2857142857142857,0.0
641,0.2857142857142857,0.0,0.2857142857142857,0.0
5980,0.2857142857142857,0.0,0.2857142857142857,0.0
5429,0.2857142857142857,0.0,0.2857142857142857,0.0
5889,0.2857142857142857,0.0,0.2857142857142857,0.0
80198,0.2857142857142857,0.0,0.2857142857142857,0.0
7156,0.2857142857142857,0.0,0.2857142857142857,0.0
8940,0.2857142857142857,0.0,0.2857142857142857,0.0
2067,0.25,0.0,0.25,0.0
5888,0.2222222222222222,0.0,0.2222222222222222,0.0
29935,0.2,0.0,0.2,0.0
6119,0.2,0.0,0.2,0.0
6118,0.2,0.0,0.2,0.0
6117,0.2,0.0,0.2,0.0
4292,0.16666666666666666,0.0,0.16666666666666666,0.0
